word;freq;category
meat;46401;foods
cheese;38025;foods
bread;34840;foods
rice;33676;foods
corn;26609;foods
salad;23010;foods
soup;21273;foods
lemon;17281;foods
vinegar;9110;foods
spice;8795;foods
cereal;7148;foods
tofu;2959;foods
actor;33234;occupations
nurse;28974;occupations
musician;24829;occupations
designer;19814;occupations
consultant;16798;occupations
politician;13369;occupations
waiter;8916;occupations
cleaner;6653;occupations
dentist;6071;occupations
accountant;4598;occupations
tailor;2092;occupations
trucker;1889;occupations
bird;38421;animals
sheep;14372;animals
lion;12969;animals
snake;12901;animals
bee;8674;animals
frog;6230;animals
penguin;4324;animals
donkey;3687;animals
dolphin;2999;animals
panda;2221;animals
snail;1906;animals
hamster;1116;animals
dress;47994;clothing
hat;34222;clothing
coat;28167;clothing
jeans;16585;clothing
gloves;13029;clothing
skirt;11853;clothing
socks;10442;clothing
shorts;10133;clothing
underwear;8622;clothing
scarf;5499;clothing
bikini;3053;clothing
parka;1152;clothing
